武汉大学大创项目进展/中期/结题报告常见问题,,
序 号,存在问题,修改建议
1,报告封面中书写不规范,中英文主题翻译一致
,,冒号居于上下一条线
2,中英文摘要字数不达标,300-500字之间；摘要之间间隔两个汉字
3,关键词间隔不规范,以分号形式隔开
4,目录提纲不规范,"使用学术用语,内容紧扣主题"
5,页码标注不规范,"正文前用罗马数字,正方部分启用阿拉伯数字"
6,排版不规范,目录、标题及正文字体及字号参照模板标示
,,去掉多余页眉，在格式窗口中选中“正文”即可                                                                                  
,,只允许各章节最后部分出现大段空白
,,"各段首行空两个汉字，次行顶格，行间距为1.5倍,无段间距"
7,标题层级结构不规范,除一级标题（如第１章）居中外，其他各级标题（如1.1　1.1.1）顶格书写
,,标题层级与目录中的一一对应
,,正文中的内容主题可按序号“（1） 第一，”依次出现，遵循段落排版要求
8,图示标注不规范,图示说明位于图的下方，居中排列，按大章节依次排序，如“图2.1  图名”，并在正文中予以解读
9,表格标注不规范,表格说明位于表的上方，居中排列，按大章节依次排序，如“表 3.2 表名”，并在正文中予以解读
10,公式标注不规范,公式标注位于版心最右端，按大章节依次排序，如“（4.3 ）”，并在正文中予以解读
11,参考文献标注不规范,严格遵照《武汉大学本科生毕业论文（设计）工作管理办法（修订）》第13页部分书写，而且在正文对应部分以Times New Roman字体上标形式予以标注
